Buffalo,ZFPS-LM5K,Yes,I drove my personal car,how safe are they?,Neutral,intrigued,Yes,"store, shopping","physical therapy, 3x","Memphis, TN",drove myself,drove myself,drove,alone,my husband,family,nothing,nothing,sight seeing,slow traffic,none,26 hrs of driving,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would have no effect,Driverless mobility would improve,,,availability of my time,Access for transportation,,Price,,Safety,,Will the cars always know what to do,,Cost,,Safety,,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,none its too new,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,only if people and property are not around,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,,Yes,Highly undesirable,Neutral,Neutral,Neutral,Ride share model,,Yes,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,Justice/equity I don't believe anyone will take care of the people.,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,4 - Trust,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,4 - Trust,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,4 - Trust,1 - Don't trust at all,1 - Don't trust at all,Safety,Safety,Justice/equity,Privacy protection,Infrastructure,Environment,Cybersecurity,,Regulations Need to be followed and if not people should be held accountable,(see above answer),(see above answer),Yes,no,how safe can it be?,unsafe
Buffalo,TZLF-N7L6,Yes,drove,open to discussion,Neutral,nervous,Yes,car personal,car personal,"DR, US Virgin Islands",depends,depends,plane,friends,friends,myself,"non public, freedom","non public, freedom",foreign country,n/a,n/a,mode of transportation,,,,,,,,,,,,,,,,need working model,accidents,,driver ed - to also drive within system,,co-driver non driver,,accidents,,driver ed - to also drive within system,,co-driver non driver,,Yes,,Strongly agree,,,,,,,,Agree,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Yes,,,,Higly desirable,,N/A,Yes,5 - Very effective,,,,,5 - Very effective,,,,,5 - Very effective,,,,,5 - Very effective,,,,,5 - Very effective,,,,,5 - Very effective,,,,,Skip this **** of vehicle movement & go to The Jetsons mindset,4 - Trust,,,,,4 - Trust,,,,,4 - Trust,,,,,4 - Trust,,,,,4 - Trust,,,,,4 - Trust,,,,,Nat. Blanket autonomy,,,,,,,,National policy,,,,,,
Buffalo,RPTG-CH7U,Yes,drove,what type of fuel will the car use. What will the car look like?,Neutral,wary,Yes,"grocery store
shopping",work,texas family reunion,car,car,plane,sister,self,mother in law,brief,"work mid shift, light traffic",didn't take long,roads need work,roads need work,southwest is basically a skybus,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would have no effect,Driverless mobility would have no effect,,,total cost and individual car ownership. if we have to switch over to more sophisticated cars the price of everything will go up,they are electric,I would like to see complete overhaul of the instructure,it will take a while -  I don't want to have to deal with it just be a passenger.,,if they came to fruition  they will be hybrid  - i would like to still be have the option to drive sometimes,,they all be expensive - income inequality,,failure - computers are programmed,,complacency - if we let robots and computer do everything we will become lazier,,Yes,Agree,Unsure/I don't know,Disagree,Disagree,i would't mind the first three level of auto meters as i would be still be in control of the car,Agree,Agree,Agree,Agree,Agree,i would support testing of driverless car under controlled conditions because progress cannot be stepped even though caution is warranted,Unsure/I don't know,Disagree,Disagree,Agree,Unsure/I don't know,data used against people to increase cost for the individual based on behavior outside of context,Yes,Higly desirable,Desirable,Neutral,Desirable,Individual ownership;Public transportation model,i like public transportation but our system is really inadequate. I don't think you could get people to give up private ownership of their vehicles. i also really like to so when i get ready. ride share as an option is a good idea but not necessary to get public opinion for the driverless model on your side.,Yes,4 - Effective,4 - Effective,3 - Unsure,3 - Unsure,4 - Effective,4 - Effective,2 - Not effective,2 - Not effective,4 - Effective,3 - Unsure,2 - Not effective,2 - Not effective,4 - Effective,2 - Not effective,2 - Not effective,3 - Unsure,2 - Not effective,3 - Unsure,3 - Unsure,4 - Effective,4 - Effective,3 - Unsure,3 - Unsure,4 - Effective,4 - Effective,4 - Effective,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,Justice equity is an important issue and the non-profit organization work well in this area because they specialize,2 - Don't trust,2 - Don't trust,4 - Trust,2 - Don't trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,3 - Unsure,2 - Don't trust,2 - Don't trust,4 - Trust,2 - Don't trust,2 - Don't trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,2 - Don't trust,2 - Don't trust,4 - Trust,4 - Trust,4 - Trust,2 - Don't trust,2 - Don't trust,4 - Trust,3 - Unsure,3 - Unsure,Infrastructure is an important issue. I hope the transportation industry and national government finally invest time and money into the issue. It is most urgent as the roads and bridges are deteriorating and we are falling behind in our ability to compete w/ China.,Cybersecurity,Infrastructure,Environment,Privacy protection,Justice/equity,Safety,"Opioid addiction issue - 
Border security - need comprehensive immigration laws so we can stop torturing people at the border. 
Mass incarceration - too many private prisons",Have a national plan. Make a plan for the future that is comprehensive and inclusive. Build infrastructure for it. Climate Change is real!,Include everyone in your plan make a public option that gets people where they need to go when they need to get there,Get it right! Don't mess with peoples lives,Yes,I was wondering who was involved and that has been somewhat answered.,I have a lot to think about but mostly what form it will take. What changes it will bring in the infrastructure.,curious
Buffalo,XXK4-9A3M,Yes,Bicycle 5 miles,How can the people affected by automation influence the change?,Neutral,catalytic,Yes,The Park (Meditation),"Work
Sports Games",New Jersey,Car,Car,Car,,My son,Family,Driving,"Listen to books, Driving",Destination,Hot weather,Traffic,Fatigue,Driverless mobility would improve,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would make worse,Global Warming,CO2 emissions and global warming will increase as car miles driven increases,Ease of travel,Long trips can be done overnight,,,,,Extra pollution/global warming - Car miles increase b/c cars can orbit and its easier to have a car go someplace.,,use of crosswalks as parkinglots - people will get dropped off and their car will orbit/park someplace,,,,Yes,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,"automatic braking, beyond that driving skills atrophy",Agree,Agree,,,,,Unsure/I don't know,Unsure/I don't know,Strongly disagree,Strongly agree,Strongly disagree,"privacy, sale, tracking of info",Yes,Desirable,Not desirable,Neutral,Higly desirable,Public transportation model,Public transport reduces energy use for transportation,Yes,,3 - Unsure,3 - Unsure,2 - Not effective,3 - Unsure,4 - Effective,3 - Unsure,3 - Unsure,2 - Not effective,3 - Unsure,4 - Effective,3 - Unsure,3 - Unsure,2 - Not effective,3 - Unsure,4 - Effective,3 - Unsure,3 - Unsure,2 - Not effective,3 - Unsure,4 - Effective,3 - Unsure,3 - Unsure,2 - Not effective,3 - Unsure,4 - Effective,3 - Unsure,3 - Unsure,,3 - Unsure,"National gov't/environment, the (xxxx) EPA and E* set emissions standards. Restrictions and limits on **** DRV2/Energy use ****",3 - Unsure,3 - Unsure,3 - Unsure,2 - Don't trust,2 - Don't trust,3 - Unsure,3 - Unsure,3 - Unsure,2 - Don't trust,2 - Don't trust,3 - Unsure,3 - Unsure,3 - Unsure,2 - Don't trust,2 - Don't trust,3 - Unsure,3 - Unsure,3 - Unsure,2 - Don't trust,2 - Don't trust,3 - Unsure,3 - Unsure,3 - Unsure,4 - Trust,2 - Don't trust,3 - Unsure,3 - Unsure,3 - Unsure,2 - Don't trust,2 - Don't trust,,Environment,Justice/equity,Safety,Cybersecurity,Privacy protection,Infrastructure,Avenues for action by the people if needs are unmet,,,,Yes,no,how can AV use be regulated such that AV adoption will lower vehicle emissions,catasytic ??
Buffalo,7FCZ-S5HN,Yes,i drove myself,how can the safety of other vehicles and pedestrians be ensured?,Optimistic,technology,Yes,drove lyft and uber,work,las vegas,i drove my car,i drove,flew,picked up and dropped off passengers,just myself,best friend,talking to difficult people,singing,everything,some of them were drunk,none,too hot,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,,,traffic congestion - driverless mobility would make things go smooth making less congestion and accidents,convenience/accessibility,you'll be able to multi task for people who can't drive,safety - of the technology to keep the cars at a safe distance from each other,,parking - of the sensors and i can't park,,cost - of the abilities and the maintenance,,malfunction - if it shuts down will there be a back up,,hacking - they always have a way of getting into systems,,Yes,Agree,Agree,Agree,Agree,"i am comfortable with level 2/3 now, 4/5 with more testing and information",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"if fully support the testing, that would be the only way to ensure all things covered",Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,having my information in the wrong hands or use it for other purposes,Yes,Higly desirable,Desirable,Desirable,Higly desirable,Public transportation model,improving the current system for public transportation - maybe more people would choose to use it instead of their own vehicles,Yes,5 - Very effective,5 - Very effective,2 - Not effective,3 - Unsure,4 - Effective,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,5 - Very effective,4 - Effective,1 - Not at all effective,2 - Not effective,3 - Unsure,5 - Very effective,5 - Very effective,1 - Not at all effective,5 - Very effective,1 - Not at all effective,5 - Very effective,5 - Very effective,3 - Unsure,5 - Very effective,3 - Unsure,Safety - National government because they have access to data across the board.,2 - Don't trust,3 - Unsure,4 - Trust,4 - Trust,3 - Unsure,2 - Don't trust,3 - Unsure,4 - Trust,4 - Trust,3 - Unsure,2 - Don't trust,3 - Unsure,4 - Trust,4 - Trust,3 - Unsure,2 - Don't trust,3 - Unsure,4 - Trust,4 - Trust,3 - Unsure,3 - Unsure,3 - Unsure,4 - Trust,4 - Trust,3 - Unsure,2 - Don't trust,3 - Unsure,4 - Trust,4 - Trust,3 - Unsure,Non-profit organizations because they're not money motivated,Safety,Privacy protection,Cybersecurity,Infrastructure,Environment,Justice/equity,It depends on the individual stakeholder and any motives for someone to want to violate the system.,To ensure our safety from hacker - getting into the system & our private information,To work with national govt. to ensure these same concerns doesn't affect us locally,"As a whole, all systems need to work togeteher collectively for things to run smooth",Yes,yes,when will have AVs on the road,futuristic
Buffalo,QF5F-VEE3,Yes,caught a lyft,how safe is it? how will they be regulated? can a human override the car if a emergency arrives,Optimistic,cautious,Yes,"darien lake, daughter's birthday",work,puerto rico,printed owned vehicle,bus,plane,no one,no one,family,nothing,nothing,the island life of ease,none,bus running late,boring flight home,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would have no effect,Driverless mobility would improve,,,my biggest issue would be cost of car ownership could increase,options,it would be nice to have options when buying one,affordability - if its not affordable then not many people will use,,ease of use - it is nice if it is easy to operate,,"regulation/monitoring - if someone is monitoring and a issue arises, the monitor can jump in and correct it",,security - it is vulnerable to hacking,,availability - if its not reasonable priced than,,Yes,Strongly agree,Strongly agree,Agree,Strongly disagree,"i would feel comfortable at level 4 because i will still have some control over the vehicle ""in case of emergency""",Strongly agree,Strongly agree,Disagree,Unsure/I don't know,Strongly disagree,i would support testing on a closed track,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,location tracking data,Yes,Desirable,Higly desirable,Neutral,Desirable,Individual ownership,i feel individual ownership is very desirable because you have total control,Yes,4 - Effective,3 - Unsure,4 - Effective,4 - Effective,2 - Not effective,4 - Effective,3 - Unsure,4 - Effective,3 - Unsure,2 - Not effective,4 - Effective,3 - Unsure,4 - Effective,3 - Unsure,2 - Not effective,4 - Effective,3 - Unsure,4 - Effective,3 - Unsure,3 - Unsure,4 - Effective,3 - Unsure,4 - Effective,3 - Unsure,4 - Effective,4 - Effective,3 - Unsure,4 - Effective,3 - Unsure,5 - Very effective,,5 - Trust a lot,4 - Trust,3 - Unsure,4 - Trust,2 - Don't trust,5 - Trust a lot,4 - Trust,3 - Unsure,5 - Trust a lot,2 - Don't trust,5 - Trust a lot,4 - Trust,3 - Unsure,4 - Trust,2 - Don't trust,5 - Trust a lot,4 - Trust,3 - Unsure,4 - Trust,2 - Don't trust,5 - Trust a lot,4 - Trust,3 - Unsure,4 - Trust,2 - Don't trust,5 - Trust a lot,4 - Trust,3 - Unsure,4 - Trust,2 - Don't trust,,Privacy protection,Infrastructure,Justice/equity,Cybersecurity,Safety,,None,Make sure theres is oversight and monitoring.,follow national government guidelines,make sure to not cut corners or take shortcuts,Yes,yes it was,none,cautious
Buffalo,ZK5G-B2TT,Yes,Drove,Will it phased in slowly and how long will it be before everyone will be driverless,Neutral,Scary,Yes,"stores, church,restaurant","friend's house for dinner, church, work, stores,bank,park",las vegas,car,car/walk,plane,daughter,daughter and a friend,daugther,"buying things, time spent with daugther",when my friend drove,resting after getting there,n/a,too long of a drive,plane discomfort,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would improve,,,driving myself alleviate back pain,Safety,that the most important issue,Comfort - that would assist in my medical issues,,Easier -  not have worry of driving,,Malfunction - that could cause a lot of problems w/ everyone's cars,,Unity - if not everyone is on board we will have some people driving autonomous and others not,,Cost,,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Agree,Agree,Agree,Unsure/I don't know,Unsure/I don't know,i would support less active areas first,Agree,Unsure/I don't know,Strongly disagree,Agree,Strongly disagree,i don't believe autonomous vehicle should be used by everyone. there should be a background check on them,Yes,Not desirable,Higly desirable,Not desirable,Neutral,Individual ownership,if rideshare it should be with options to choose no other passengers or multiple passengers.  would want to keep individual options for freedom,Yes,1 - Not at all effective,4 - Effective,5 - Very effective,2 - Not effective,3 - Unsure,3 - Unsure,4 - Effective,2 - Not effective,5 - Very effective,1 - Not at all effective,5 - Very effective,4 - Effective,3 - Unsure,1 - Not at all effective,2 - Not effective,1 - Not at all effective,3 - Unsure,4 - Effective,2 - Not effective,5 - Very effective,2 - Not effective,3 - Unsure,1 - Not at all effective,4 - Effective,5 - Very effective,4 - Effective,5 - Very effective,3 - Unsure,2 - Not effective,1 - Not at all effective,Privacy - non for profit hopefully would keep high ethics in mind,2 - Don't trust,2 - Don't trust,4 - Trust,5 - Trust a lot,4 - Trust,5 - Trust a lot,2 - Don't trust,4 - Trust,4 - Trust,3 - Unsure,4 - Trust,2 - Don't trust,4 - Trust,4 - Trust,4 - Trust,1 - Don't trust at all,1 - Don't trust at all,3 - Unsure,3 - Unsure,2 - Don't trust,3 - Unsure,4 - Trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,3 - Unsure,4 - Trust,3 - Unsure,Privacy protection - non profit,Privacy protection,Cybersecurity,Infrastructure,Justice/equity,Safety,Environment,Feasibility of changing infrastructure,Head the opinion of the people,Get voices from everyone,Trial & error Test test & more testing,Yes,not really,when and how will it be implemented,
Buffalo,Y9ZE-8BUX,Yes,Drove a car,Easier access to get someplace,Neutral,Awesome,Yes,North Collins to see my cousin.,Williamsville,None,Rental car,Car,,My stepdaughter from Dallas,Myself,,Scenery in Eden,Short,,Traffic!,None,,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,,,traffic,hopefully reduce number of vehicles on toad especially in the AM/PM work traffic,"accidents because less traffic, less accidents.",,n/a,,technology because developing safety issues with driverless cars,,cost because cost could be expensive to own one.,,availability,,Yes,Strongly agree,Strongly agree,Unsure/I don't know,Strongly disagree,level 3 as i would have more control,Strongly agree,Strongly agree,Strongly agree,,Strongly disagree,the first 3 areas i feel most comfortable as i have control. i trust myself,Unsure/I don't know,Unsure/I don't know,Unsure/I don't know,Unsure/I don't know,Unsure/I don't know,unsure of all issues,Yes,Desirable,Desirable,Desirable,Desirable,Individual ownership,Able to own your own vehicle and come as you wish,Yes,4 - Effective,4 - Effective,1 - Not at all effective,5 - Very effective,3 - Unsure,4 - Effective,4 - Effective,3 - Unsure,5 - Very effective,3 - Unsure,4 - Effective,4 - Effective,4 - Effective,5 - Very effective,4 - Effective,4 - Effective,4 - Effective,4 - Effective,5 - Very effective,3 - Unsure,4 - Effective,4 - Effective,4 - Effective,,4 - Effective,4 - Effective,4 - Effective,4 - Effective,,4 - Effective,Safety is the most important for protection of the consumer,4 - Trust,4 - Trust,3 - Unsure,4 - Trust,4 - Trust,4 - Trust,4 - Trust,3 - Unsure,4 - Trust,3 - Unsure,4 - Trust,4 - Trust,3 - Unsure,3 - Unsure,4 - Trust,4 - Trust,4 - Trust,3 - Unsure,3 - Unsure,3 - Unsure,4 - Trust,4 - Trust,4 - Trust,5 - Trust a lot,5 - Trust a lot,4 - Trust,4 - Trust,4 - Trust,5 - Trust a lot,5 - Trust a lot,National government on all,Safety,Privacy protection,Justice/equity,Environment,Infrastructure,Cybersecurity,Cost,"Better roads, more safety regulations",Better roads,More productive transportation vehicles,Yes,yes,none,awesome
Buffalo,UL9S-K7EV,Yes,Drove from Hamburg N.Y.,What sort of programming is being used to ensure passenger safety?,Neutral,underdevelop,Yes,went to canada on weekend vacation,no where,"flew to new mexico, rented a car that smelled like dope",drove one of our personal vehicles,,"air, rental car",my lovely wife,,my lovely wife,most of it except the border crossing,,all of it,people stopping to look at accident in another lane causes a delay,,the house we rented was small,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would make worse,,,congestion would be worse due to driverless cars following all speed limits and causing a lack of flow in the traffic,That they get good programmers,right now tech cannot even spelled correct a text properly and now they want it to drive a car,Insurance companies - they have no clue as to how to handle this and i hope they figure it out,,City congestion reduced - city driving is terrible,,Overreach  - gov't is a bunch of temporary employees looking to control others,,Glitches - sorry your uncle died because of a software glitch,,Price- high tech equals high price,,Yes,Unsure/I don't know,Disagree,Disagree,Strongly disagree,,Agree,Strongly agree,Agree,Unsure/I don't know,Unsure/I don't know,before large scale testing beings the software must be perfected,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree,it is nobody's business where and when i choose to go as long as i am not breaking the law,Yes,Not desirable,Highly undesirable,Not desirable,Not desirable,Improving the current system;Individual ownership;Ride share model;Public transportation model,NA,Yes,1 - Not at all effective,2 - Not effective,2 - Not effective,1 - Not at all effective,1 - Not at all effective,2 - Not effective,2 - Not effective,2 - Not effective,1 - Not at all effective,1 - Not at all effective,1 - Not at all effective,3 - Unsure,3 - Unsure,3 - Unsure,1 - Not at all effective,2 - Not effective,2 - Not effective,2 - Not effective,2 - Not effective,1 - Not at all effective,2 - Not effective,2 - Not effective,2 - Not effective,2 - Not effective,1 - Not at all effective,2 - Not effective,2 - Not effective,2 - Not effective,2 - Not effective,1 - Not at all effective,individual safety -> spend the Billions that taxpayers have to pay each year on keeping people safe.,2 - Don't trust,1 - Don't trust at all,1 - Don't trust at all,2 - Don't trust,2 - Don't trust,2 - Don't trust,2 - Don't trust,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,2 - Don't trust,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,1 - Don't trust at all,2 - Don't trust,1 - Don't trust at all,1 - Don't trust at all,2 - Don't trust,2 - Don't trust,2 - Don't trust,1 - Don't trust at all,1 - Don't trust at all,2 - Don't trust,2 - Don't trust,,Privacy protection,Justice/equity,Safety,Infrastructure,Cybersecurity,Environment,Every leap in technology is often ill thought out and not ready. WE must learn from our mistakes and not rush into self driving cars before the technology is ready. HOW when software cannot even get spell correct are we going to use this to drive a car,"Stay out of it, everything you touch sucks! can't even get a letter delivered properly",Listen to your citizens!,how about doing it right the first time and make a bit less and kill fewer people. think -> ford pinto etc!,,,,
Buffalo,HHXT-76ZJ,Yes,drove,"will there be multiple forms such as: Rail system, buses, bicycles, car and trucks?",Optimistic,"Interesting, inguisitive",Yes,Toronto - get away with friends,"-work
-resturant
-grocery store
- to a bike ride",Toronto - get away with friends,"Drove my car
-took train
-rideshare/lyft",Drove my car,Drove my car,friends,daughter,friends,"Exploring a different place 
- food I ate
-places I went",,"Exploring a different place 
- food I ate
-places I went","Heavy traffic leading into the city
-driving for hours body got a little stiff",some traffic on morning commute,train was crowded,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would improve,Driverless mobility would make worse,Driverless mobility would make worse,Driverless mobility would improve,Driverless mobility would improve,,,"Total cost of individual car ownership, the cost of everything in our economy has increased. with the amount of technology it will take to create/maintain driverless vehicles I believe it will not be affordable for middleclass/poor population.",safety,"it could possibly help reduce the amount of accidents, which could improve quality of life",traffic reduction -  the technology could be smarter with improving the flow of traffic,,modes of transportation -  in buffalo modes of transportation can be limited with time. sometimes it is competitive to get a rideshare/cab depending on the time.,,safety -  technology has/will malfunction,,affordability -  technology is not cheap,,"skillset - if vehicles are driving on there we don't have to think, concentrate be defensive",,Yes,Agree,Agree,Disagree,Disagree,level 0-2 is where i would be most comfortable i would still like to have some control,Agree,Agree,Strongly agree,Agree,Unsure/I don't know,less populated areas could be more safe. in more populated areas these are many drivers that are not safe drivers and very unpredictable,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,"in our current environment we already experience data breaches.  it is important to keep our personal data as secure as possible to prevent identity theft. if data breach occur it will cost more time, energy, stress, and decrease safety",Yes,Higly desirable,Desirable,Desirable,Higly desirable,Improving the current system;Public transportation model,"i think if we improve the current system it could update all areas above. The current system has to be improved in order to create ownership, rideshare and public transport. Without upgrading our current system it could make the driverless cars ineffective.",Yes,4 - Effective,4 - Effective,2 - Not effective,2 - Not effective,3 - Unsure,4 - Effective,4 - Effective,3 - Unsure,3 - Unsure,,4 - Effective,4 - Effective,4 - Effective,3 - Unsure,2 - Not effective,4 - Effective,4 - Effective,3 - Unsure,4 - Effective,2 - Not effective,4 - Effective,4 - Effective,4 - Effective,4 - Effective,4 - Effective,4 - Effective,4 - Effective,4 - Effective,4 - Effective,3 - Unsure,Infrastructure: Local Government could be most effective for deciding on the infrastructure. Local stakeholders receive information from the residents that would help develop what the infrastructure would be like. This could then rise the national level for funding.,2 - Don't trust,2 - Don't trust,4 - Trust,4 - Trust,3 - Unsure,4 - Trust,4 - Trust,4 - Trust,3 - Unsure,3 - Unsure,2 - Don't trust,3 - Unsure,4 - Trust,3 - Unsure,3 - Unsure,2 - Don't trust,2 - Don't trust,3 - Unsure,3 - Unsure,3 - Unsure,4 - Trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,4 - Trust,3 - Unsure,4 - Trust,"Justice/equity: I believe the non-profit organizations could help to address Justice/equity issues. Non-profits are organization set in place ""for the people, by the people.""",Justice/equity,Privacy protection,Safety,Environment,Cybersecurity,Infrastructure,The 6 issues combine most of the main issues,Gather information from researchers and key stakeholders,same as above,Ensuring the safety of the mobility. Proper training,Yes,yes somewhat,"What would the roll out look like?
Will there still be mixed transportation?
How will they prioritize what places start driverless mobility?",inquisitive
Buffalo,Z98Y-LXKX,Yes,Drove in,"what is it and how safe is it, how long has it been around",Neutral,curious,Yes,mall and department store,"mall shop, grocery store",las vegas,car,car,plane,family,family,family,the end results shopping,spending time family,the sights,walking from parking to destination,mobility,mobility is always an issue for me,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would have no effect,Driverless mobility would improve,Driverless mobility would have no effect,Driverless mobility would improve,,"i could see where it might help with my limited mobility issues. drop me a the front door and go park itself, then pick me at the front door",not sure,,limited parking,,eliminate the need for handicap parking,,safety - things you observe as a driver won't happen by a machine,,elimination of human interaction,,data breach/hackable,,Yes,Unsure/I don't know,Disagree,Disagree,Disagree,2 because i can ultimately take control,Strongly agree,Unsure/I don't know,Strongly disagree,Strongly disagree,Strongly disagree,i would support driverless cars on highways only if no other vehicles were present,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,privacy at all costs,Yes,Higly desirable,Neutral,Desirable,Neutral,Individual ownership,control of time and destination safety,Yes,3 - Unsure,3 - Unsure,4 - Effective,3 - Unsure,4 - Effective,3 - Unsure,1 - Not at all effective,3 - Unsure,3 - Unsure,3 - Unsure,1 - Not at all effective,1 - Not at all effective,5 - Very effective,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,3 - Unsure,4 - Effective,1 - Not at all effective,2 - Not effective,4 - Effective,1 - Not at all effective,3 - Unsure,1 - Not at all effective,4 - Effective,4 - Effective,1 - Not at all effective,3 - Unsure,,3 - Unsure,2 - Don't trust,4 - Trust,3 - Unsure,4 - Trust,3 - Unsure,1 - Don't trust at all,3 - Unsure,3 - Unsure,3 - Unsure,1 - Don't trust at all,1 - Don't trust at all,4 - Trust,3 - Unsure,1 - Don't trust at all,3 - Unsure,3 - Unsure,4 - Trust,3 - Unsure,4 - Trust,1 - Don't trust at all,1 - Don't trust at all,4 - Trust,3 - Unsure,3 - Unsure,1 - Don't trust at all,1 - Don't trust at all,4 - Trust,1 - Don't trust at all,1 - Don't trust at all,It seems that NGO's hear the response of average citizen and tend to response. **** Government has lost touch with the community,Safety,Justice/equity,Privacy protection,Cybersecurity,Environment,Infrastructure,"Criminal justice. Housing for all, fair & equal",Please include the community in your decision making,Bring the community to the table,**** the ****in decisions about their concerns,Yes,yes,when will NYS be eligible?,curious
